STOP_ID,STOP_NAME,STATION_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location,LON,LAT
30029,Pulaski (54th/Cermak-bound),Pulaski,40150,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"(41.853732, -87.724311)",-87.724311,41.853732
30180,Pulaski (Forest Pk-bound),Pulaski,40920,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.873797, -87.725663)",-87.725663,41.873797
30179,Pulaski (O'Hare-bound),Pulaski,40920,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.873797, -87.725663)",-87.725663,41.873797
30005,Pulaski (63rd-bound),Pulaski,40030,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.885412, -87.725404)",-87.725404,41.885412
30006,Pulaski (Harlem-bound),Pulaski,40030,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.885412, -87.725404)",-87.725404,41.885412
30007,Quincy/Wells (Inner Loop),Quincy/Wells,40040,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,"(41.878723, -87.63374)",-87.63374,41.878723
30008,Quincy/Wells (Outer Loop),Quincy/Wells,40040,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.878723, -87.63374)",-87.63374,41.878723
30093,Racine (Forest Pk-bound),Racine,40470,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.87592, -87.659458)",-87.659458,41.87592
30092,Racine (O'Hare-bound),Racine,40470,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.87592, -87.659458)",-87.659458,41.87592
30120,Ridgeland (Harlem-bound),Ridgeland,40610,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.887159, -87.783661)",-87.783661,41.887159
30119,Ridgeland (63rd-bound),Ridgeland,40610,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.887159, -87.783661)",-87.783661,41.887159
30196,Rockwell (Loop-bound),Rockwell,41010,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.966115, -87.6941)",-87.6941,41.966115
30195,Rockwell (Kimball-bound),Rockwell,41010,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.966115, -87.6941)",-87.6941,41.966115
30081,Roosevelt (Midway-63rd-bound),Roosevelt,41400,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"(41.867405, -87.62659)",-87.62659,41.867405
30080,Roosevelt (Loop-Harlem-bound),Roosevelt,41400,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"(41.867405, -87.62659)",-87.62659,41.867405
30269,Roosevelt (Howard-bound),Roosevelt,41400,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.867368, -87.627402)",-87.627402,41.867368
30270,Roosevelt (95th-bound),Roosevelt,41400,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.867368, -87.627402)",-87.627402,41.867368
30159,Rosemont (O'Hare-bound),Rosemont,40820,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.983507, -87.859388)",-87.859388,41.983507
30160,Rosemont (Forest Pk-bound),Rosemont,40820,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.983507, -87.859388)",-87.859388,41.983507
30155,Sedgwick (Kimball-Linden-bound),Sedgwick,40800,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"(41.910409, -87.639302)",-87.639302,41.910409
